h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.80500e+00,5.00000e-01,9.99726e-01,8.75881e-05,1.86752e-04
1.80500e+00,5.00175e-01,9.99501e-01,1.68990e-04,3.29541e-04
1.80500e+00,5.00350e-01,9.98028e-01,5.97850e-04,1.37426e-03
1.80500e+00,5.00525e-01,9.99180e-01,1.39950e-04,6.79781e-04
1.80500e+00,5.00700e-01,9.79945e-01,1.11860e-02,8.86863e-03
1.80500e+00,5.00875e-01,9.96403e-01,1.84827e-03,1.74835e-03
1.80500e+00,5.01050e-01,9.99152e-01,3.61552e-04,4.86000e-04
1.80500e+00,5.01225e-01,9.99479e-01,1.54378e-04,3.66711e-04
1.80500e+00,5.01400e-01,9.99349e-01,8.78221e-05,5.62849e-04
1.80500e+00,5.01575e-01,9.94308e-01,6.68472e-05,5.62551e-03
1.80500e+00,5.01750e-01,9.98593e-01,3.82384e-05,1.36885e-03
1.80500e+00,5.01925e-01,9.99686e-01,2.90879e-05,2.85142e-04
1.80500e+00,5.02100e-01,9.99817e-01,2.32104e-05,1.59600e-04
1.80500e+00,5.02275e-01,9.99860e-01,1.92103e-05,1.20890e-04
1.80500e+00,5.02450e-01,9.99880e-01,1.64241e-05,1.03516e-04
1.80500e+00,5.02625e-01,9.99891e-01,1.44915e-05,9.43638e-05
1.80500e+00,5.02800e-01,9.99897e-01,1.32526e-05,9.01653e-05
1.80500e+00,5.02975e-01,9.99895e-01,1.27656e-05,9.18403e-05
1.80500e+00,5.03150e-01,9.99878e-01,1.36410e-05,1.08376e-04
1.80500e+00,5.03325e-01,9.99773e-01,2.00121e-05,2.07325e-04
