h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.80000e+00,5.12775e-01,9.56525e-01,2.85685e-07,4.34752e-02
1.80000e+00,5.12950e-01,9.56584e-01,2.49008e-07,4.34162e-02
1.80000e+00,5.13125e-01,9.57521e-01,2.08084e-07,4.24791e-02
1.80000e+00,5.13300e-01,9.59351e-01,1.77917e-07,4.06486e-02
1.80000e+00,5.13475e-01,9.61797e-01,1.93080e-07,3.82030e-02
1.80000e+00,5.13650e-01,9.64378e-01,3.39107e-07,3.56214e-02
1.80000e+00,5.13825e-01,9.66518e-01,9.08566e-07,3.34809e-02
1.80000e+00,5.14000e-01,9.67188e-01,3.51334e-06,3.28087e-02
1.80500e+00,5.00000e-01,9.34264e-01,4.56280e-06,6.57310e-02
1.80500e+00,5.00175e-01,9.34061e-01,4.14083e-06,6.59350e-02
1.80500e+00,5.00350e-01,9.34118e-01,3.79402e-06,6.58787e-02
1.80500e+00,5.00525e-01,9.34419e-01,3.50282e-06,6.55774e-02
1.80500e+00,5.00700e-01,9.34951e-01,3.25740e-06,6.50458e-02
1.80500e+00,5.00875e-01,9.35698e-01,3.05256e-06,6.42988e-02
1.80500e+00,5.01050e-01,9.36645e-01,2.88555e-06,6.33524e-02
1.80500e+00,5.01225e-01,9.37771e-01,2.75517e-06,6.22266e-02
1.80500e+00,5.01400e-01,9.39049e-01,2.66133e-06,6.09480e-02
1.80500e+00,5.01575e-01,9.40443e-01,2.60508e-06,5.95540e-02
1.80500e+00,5.01750e-01,9.41900e-01,2.58893e-06,5.80975e-02
1.80500e+00,5.01925e-01,9.43346e-01,2.61750e-06,5.66509e-02
1.80500e+00,5.02100e-01,9.44690e-01,2.69905e-06,5.53076e-02
1.80500e+00,5.02275e-01,9.45817e-01,2.84830e-06,5.41804e-02
1.80500e+00,5.02450e-01,9.46597e-01,3.09427e-06,5.33994e-02
1.80500e+00,5.02625e-01,9.46858e-01,3.50274e-06,5.31386e-02
1.80500e+00,5.02800e-01,9.46164e-01,4.24198e-06,5.38320e-02
1.80500e+00,5.02975e-01,9.42728e-01,5.48134e-06,5.72667e-02
1.80500e+00,5.03150e-01,9.38731e-01,4.54428e-06,6.12648e-02
1.80500e+00,5.03325e-01,9.40801e-01,3.26755e-06,5.91956e-02
