h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorvance
1.80000e+00,5.10675e-01,9.99439e-01,9.95964e-06,5.51193e-04
1.80000e+00,5.10850e-01,9.90085e-01,2.16626e-04,9.69801e-03
1.80000e+00,5.11025e-01,9.98569e-01,3.26393e-05,1.39845e-03
1.80000e+00,5.11200e-01,9.99681e-01,6.17665e-06,3.12467e-04
1.80000e+00,5.11375e-01,9.99812e-01,2.75068e-06,1.85326e-04
1.80000e+00,5.11550e-01,9.99845e-01,1.73248e-06,1.53673e-04
1.80000e+00,5.11725e-01,9.99854e-01,1.36857e-06,1.44962e-04
1.80000e+00,5.11900e-01,9.99855e-01,1.29908e-06,1.43256e-04
1.80000e+00,5.12075e-01,9.99855e-01,1.45260e-06,1.43423e-04
1.80000e+00,5.12250e-01,9.99854e-01,1.89877e-06,1.43871e-04
1.80000e+00,5.12425e-01,9.99852e-01,2.92992e-06,1.45368e-04
1.80000e+00,5.12600e-01,9.99841e-01,5.59331e-06,1.53328e-04
1.80000e+00,5.12775e-01,9.99788e-01,1.53855e-05,1.96962e-04
1.80000e+00,5.12950e-01,9.99094e-01,1.26627e-04,7.79185e-04
1.80000e+00,5.13125e-01,9.96478e-01,1.54270e-04,3.36748e-03
1.80000e+00,5.13300e-01,9.99475e-01,2.14947e-05,5.03510e-04
1.80000e+00,5.13475e-01,9.99763e-01,8.27333e-06,2.28375e-04
1.80000e+00,5.13650e-01,9.99837e-01,4.54302e-06,1.58061e-04
1.80000e+00,5.13825e-01,9.99872e-01,2.97419e-06,1.24875e-04
1.80000e+00,5.14000e-01,9.99894e-01,2.15773e-06,1.03875e-04
1.80500e+00,5.00000e-01,9.99782e-01,6.93577e-05,1.48321e-04
1.80500e+00,5.00175e-01,9.99676e-01,1.12071e-04,2.12228e-04
1.80500e+00,5.00350e-01,9.99388e-01,2.19886e-04,3.92348e-04
1.80500e+00,5.00525e-01,9.97278e-01,8.39750e-04,1.88239e-03
1.80500e+00,5.00700e-01,9.99065e-01,1.83431e-04,7.51620e-04
1.80500e+00,5.00875e-01,9.74259e-01,1.46055e-02,1.11354e-02
1.80500e+00,5.01050e-01,9.95715e-01,2.23608e-03,2.04920e-03
1.80500e+00,5.01225e-01,9.98980e-01,4.43542e-04,5.76076e-04
1.80500e+00,5.01400e-01,9.99365e-01,1.90232e-04,4.45093e-04
1.80500e+00,5.01575e-01,9.99144e-01,1.09332e-04,7.46264e-04
1.80500e+00,5.01750e-01,9.87175e-01,9.34103e-05,1.27319e-02
1.80500e+00,5.01925e-01,9.98748e-01,4.18617e-05,1.21038e-03
1.80500e+00,5.02100e-01,9.99675e-01,3.32183e-05,2.91377e-04
1.80500e+00,5.02275e-01,9.99807e-01,2.66656e-05,1.66211e-04
1.80500e+00,5.02450e-01,9.99852e-01,2.20999e-05,1.26131e-04
1.80500e+00,5.02625e-01,9.99873e-01,1.89132e-05,1.08173e-04
1.80500e+00,5.02800e-01,9.99884e-01,1.67253e-05,9.91926e-05
1.80500e+00,5.02975e-01,9.99889e-01,1.53749e-05,9.60377e-05
1.80500e+00,5.03150e-01,9.99885e-01,1.49825e-05,1.00377e-04
1.80500e+00,5.03325e-01,9.99859e-01,1.64765e-05,1.25017e-04
